1,1,2,4000
2,1,3,5000
3,1,4,6000
4,1,5,7000
5,1,6,8000
6,1,7,9000
7,1,8,10000
8,1,9,11000
9,1,10,12000
10,1,11,13000
11,1,12,14000
12,1,13,14000
13,2,1,4000
14,2,3,4000
15,2,4,5000
16,2,5,6000
17,2,6,7000
18,2,7,7000
19,2,8,9000
20,2,9,9000
21,2,10,10000
22,2,11,11000
23,2,12,12000
24,2,13,13000
25,3,1,5000
26,3,2,4000
27,3,4,3000
28,3,5,4000
29,3,6,5000
30,3,7,6000
31,3,8,7000
32,3,9,8000
33,3,10,9000
34,3,11,9000
35,3,12,10000
36,3,13,11000
37,4,1,6000
38,4,2,5000
39,4,3,3000
40,4,5,3000
41,4,6,4000
42,4,7,5000
43,4,8,6000
44,4,9,7000
45,4,10,8000
46,4,11,8000
47,4,12,9000
48,4,13,10000
49,5,1,7000
50,5,2,6000
51,5,3,4000
52,5,4,3000
53,5,6,3000
54,5,7,4000
55,5,8,5000
56,5,9,6000
57,5,10,7000
58,5,11,7000
59,5,12,8000
60,5,13,9000
61,6,1,8000
62,6,2,7000
63,6,3,5000
64,6,4,4000
65,6,5,3000
66,6,7,3000
67,6,8,4000
68,6,9,5000
69,6,10,6000
70,6,11,6000
71,6,12,7000
72,6,13,8000
73,7,1,9000
74,7,2,7000
75,7,3,6000
76,7,4,5000
77,7,5,4000
78,7,6,3000
79,7,8,3000
80,7,9,4000
81,7,10,5000
82,7,11,6000
83,7,12,7000
84,7,13,7000
85,8,1,11000
86,8,2,9000
87,8,3,8000
88,8,4,7000
89,8,5,6000
90,8,6,5000
91,8,7,4000
92,8,9,3000
93,8,10,3000
94,8,11,3000
95,8,12,4000
96,8,13,5000
97,9,1,11000
98,9,2,9000
99,9,3,8000
100,9,4,7000
111,9,5,6000
112,9,6,5000
113,9,7,4000
114,9,8,3000
115,9,10,3000
116,9,11,3000
117,9,12,4000
118,9,13,5000
119,10,1,12000
120,10,2,10000
121,10,3,9000
122,10,4,8000
123,10,5,7000
124,10,6,6000
125,10,7,5000
126,10,8,4000
127,10,9,3000
128,10,11,3000
129,10,12,3000
130,10,13,4000
131,11,1,13000
132,11,2,11000
133,11,3,9000
134,11,4,8000
135,11,5,7000
136,11,6,6000
137,11,7,6000
138,11,8,4000
139,11,9,3000
140,11,10,3000
141,11,12,3000
142,11,13,4000
143,12,1,14000
144,12,2,12000
145,12,3,10000
146,12,4,9000
147,12,5,8000
148,12,6,7000
149,12,7,7000
150,12,8,5000
151,12,9,4000
152,12,10,3000
153,12,11,3000
154,12,13,3000
155,13,1,14000
156,13,2,13000
157,13,3,11000
158,13,4,10000
159,13,5,9000
160,13,6,8000
161,13,7,7000
162,13,8,6000
163,13,9,5000
164,13,10,4000
165,13,11,4000
166,13,12,3000
